sl_no,is_code,description,download_link
1320,IS 3696-1:1987,"Safety code of  scaffolds and ladders, Part 1:  Scaffolds",https://archive.org/download/gov.in.is.3696.1.1987/is.3696.1.1987.pdf
1321,IS 3696-2:1991,"Scaffolds and Ladders – Code of Safety, Part 2: Ladders",https://archive.org/download/gov.in.is.3696.2.1991/is.3696.2.1991.pdf
1322,IS 3764:1992,Code of safety for excavation work,https://archive.org/download/gov.in.is.3764.1992/is.3764.1992.pdf
1323,IS 4014-2:1967,"Code of Practice for Steel Tubular  Scaffolding, Part II: Safety Regulations for Scaffolding",https://archive.org/download/gov.in.is.4014.2.1967/is.4014.2.1967.pdf
1324,IS 4081:1986,Safety code for blasting and related drilling operations,https://archive.org/download/gov.in.is.4081.1986/is.4081.1986.pdf
1325,IS 4082:1996,Recommendations on stacking and storage of construction materials and components at the site,https://archive.org/download/gov.in.is.4082.1996/is.4082.1996.pdf
1326,IS 4130:1991,Safety code for demolition of buildings,https://archive.org/download/gov.in.is.4130.1991/is.4130.1991.pdf
1327,IS 4138:1977,Safety code for working in compressed air,https://archive.org/download/gov.in.is.4138.1977/is.4138.1977.pdf
1328,IS 4756:1978,Safety code for tunnelling work,https://archive.org/download/gov.in.is.4756.1978/is.4756.1978.pdf
1329,IS 4912:1978,"Safety Requirements for Floor and Wall Openings, Railings and Toe Boards",https://archive.org/download/gov.in.is.4912.1978/is.4912.1978.pdf
1330,IS 5121:1969,Safety code for piling and other deep foundations,https://archive.org/download/gov.in.is.5121.1969/is.5121.1969.pdf
1331,IS 5916:1970,Safety code for construction involving the use of hot bituminous materials,https://archive.org/download/gov.in.is.5916.1970/is.5916.1970.pdf
1332,IS 7272-1:1974,"Recommendation for Labour Output Constants for Building Work, Part I: North Zone",https://archive.org/download/gov.in.is.7272.1.1974/is.7272.1.1974.pdf
1333,IS 7293:1974,Safety code for working with construction machinery,https://archive.org/download/gov.in.is.7293.1974/is.7293.1974.pdf
1334,IS 7969:1975,Safety code for handling and storage of building materials,https://archive.org/download/gov.in.is.7969.1975/is.7969.1975.pdf
1335,IS 8989:1978,Safety code for the erection of concrete framed structures,https://archive.org/download/gov.in.is.8989.1978/is.8989.1978.pdf
1336,IS 10067:1982,Material constants in building works,https://archive.org/download/gov.in.is.10067.1982/is.10067.1982.pdf
1337,IS 10291:1982,Safety code for dress divers in civil engineering works,https://archive.org/download/gov.in.is.10291.1982/is.10291.1982.pdf
1338,IS 10302:1982,Unified Nomenclature of Workmen for Civil Engineering,https://archive.org/download/gov.in.is.10302.1982/is.10302.1982.pdf
1339,IS 13415:1992,Protective Barriers in and Around Buildings – Code of Safety,https://archive.org/download/gov.in.is.13415.1992/is.13415.1992.pdf
1976,IS 460-1:1985,Test  Sieves: Part I Wire  Cloth Test Sieves,https://archive.org/download/gov.in.is.460.1.1985/is.460.1.1985.pdf
1977,IS 460-2:1985,Test Sieves: Part II Perforated Plate Test Sieves,https://archive.org/download/gov.in.is.460.2.1985/is.460.2.1985.pdf
1978,IS 460-3:1985,Test Sieves: Part-III Methods of Examination of Apertures of Test Sieves,https://archive.org/download/gov.in.is.460.3.1985/is.460.3.1985.pdf
1979,IS 1568:1970,wire  cloth for general purposes,https://archive.org/download/gov.in.is.1568.1970/is.1568.1970.pdf
1980,IS 1607:1977,Methods for test sieving,https://archive.org/download/gov.in.is.1607.1977/is.1607.1977.pdf
1981,IS 1607:2013,Methods for test sieving,https://archive.org/download/gov.in.is.1607.2013/is.1607.2013.pdf
1982,IS 2405-1:1980,"Industrial sieves, Part 1: Wire cloth sieves",https://archive.org/download/gov.in.is.2405.1.1980/is.2405.1.1980.pdf
1983,IS 2405-2:1980,"Industrial Sieves, Part II: Perforated Plates",https://archive.org/download/gov.in.is.2405.2.1980/is.2405.2.1980.pdf
1984,IS 3150:1982,Hexagonal Wire Netting for General Purposes,https://archive.org/download/gov.in.is.3150.1982/is.3150.1982.pdf
1985,IS 4124:1981,Glossary of terms relating to powders,https://archive.org/download/gov.in.is.4124.1981/is.4124.1981.pdf
1986,IS 4879:1968,eyepiece and screen gratings for the determination of the particle size of powders,https://archive.org/download/gov.in.is.4879.1968/is.4879.1968.pdf
1987,IS 4961:1968,Determination of particle size of powders by air elutriation methods,https://archive.org/download/gov.in.is.4961.1968/is.4961.1968.pdf
1988,IS 5257:1969,eyepiece and screen gratings for the determination of the particle size of powders,https://archive.org/download/gov.in.is.5257.1969/is.5257.1969.pdf
1989,IS 5258:1969,Determination of particle size of powders by the optical microscope method,https://archive.org/download/gov.in.is.5258.1969/is.5258.1969.pdf
1990,IS 5282:1969,Liquid sedimentation methods for the determination of particle size of powders,https://archive.org/download/gov.in.is.5282.1969/is.5282.1969.pdf
1991,IS 5421:1981,Glossary of terms relating to testing sieves and test sieving,https://archive.org/download/gov.in.is.5421.1981/is.5421.1981.pdf
1992,IS 5421:2013,Glossary of terms relating to testing sieves and test sieving,https://archive.org/download/gov.in.is.5421.2013/is.5421.2013.pdf
1993,IS 10483:1983,Code for designating perforations of industrial plate sieves (identical with ISO/DIS 7806),https://archive.org/download/gov.in.is.10483.1983/is.10483.1983.pdf
853,IS 10-1:1990,Plywood Tea Chests: Part 2 Plywood,https://archive.org/download/gov.in.is.10.1.1990/is.10.1.1990.pdf
854,IS 10-2:1996,Plywood Tea Chests: Part 4 Metal Fittings,https://archive.org/download/gov.in.is.10.2.1996/is.10.2.1996.pdf
855,IS 10-3:1974,Plywood Tea-Chests: Part 3 Battens,https://archive.org/download/gov.in.is.10.3.1974/is.10.3.1974.pdf
856,IS 10-4:1989,Plywood Tea Chests: Part-4 Metal Fittings,https://archive.org/download/gov.in.is.10.4.1989/is.10.4.1989.pdf
857,IS 10-5:1976,"Plywood Tea Chests, Part 5: Assembly and Packing",https://archive.org/download/gov.in.is.10.5.1976/is.10.5.1976.pdf
858,IS 190:1991,Coniferous Sawn Timber (Baulks and Scantlings),https://archive.org/download/gov.in.is.190.1991/is.190.1991.pdf
859,IS 287:1993,Permissible Moisture Content For Timber Used For Different Purposes – Recommendations,https://archive.org/download/gov.in.is.287.1993/is.287.1993.pdf
860,IS 399:1963,Classification of Commercial Timbers and Their Zonal Distribution,https://archive.org/download/gov.in.is.399.1963/is.399.1963.pdf
861,IS 401:2001,Preservation of Timber – Code of Practice,https://archive.org/download/gov.in.is.401.2001/is.401.2001.pdf
862,IS 620:1985,Wooden Tool Handles General Requirements,https://archive.org/download/gov.in.is.620.1985/is.620.1985.pdf
863,IS 656:1988,Logs for Plywood,https://archive.org/download/gov.in.is.656.1988/is.656.1988.pdf
864,IS 707:2011,"Timber Technology And Utilization of  Wood, Bamboo and Cane – Glossary of Terms",https://archive.org/download/gov.in.is.707.2011/is.707.2011.pdf
865,IS 876:1992,Wood Poles for Overhead Power And Telecommunication Lines,https://archive.org/download/gov.in.is.876.1992/is.876.1992.pdf
866,IS 1140:1988,logs for matches,https://archive.org/download/gov.in.is.1140.1988/is.1140.1988.pdf
867,IS 1141:1993,Seasoning of timber- Code of practice,https://archive.org/download/gov.in.is.1141.1993/is.1141.1993.pdf
868,IS 1150:2000,Trade names and abbreviated symbols for timber species,https://archive.org/download/gov.in.is.1150.2000/is.1150.2000.pdf
869,IS 1326:1992,Non-coniferous sawn timber (Baulks and scantlings),https://archive.org/download/gov.in.is.1326.1992/is.1326.1992.pdf
870,IS 1331:1971,cut sizes of timber,https://archive.org/download/gov.in.is.1331.1971/is.1331.1971.pdf
871,IS 1503:1988,wooden  packing cases,https://archive.org/download/gov.in.is.1503.1988/is.1503.1988.pdf
872,IS 1707:1979,wood wool for general packaging purposes,https://archive.org/download/gov.in.is.1707.1979/is.1707.1979.pdf
1872,IS 458:2003,PrecastConcretePipes (with and without Reinforcement),https://archive.org/download/gov.in.is.458.2003/is.458.2003.pdf
1873,IS 459:1992,Corrugated and semi-Corrugated Asbestos  Cement Sheets,https://archive.org/download/gov.in.is.459.1992/is.459.1992.pdf
1874,IS 783:1985,Code of Practice for Laying of Concrete Pipes,https://archive.org/download/gov.in.is.783.1985/is.783.1985.pdf
1875,IS 784:2001,Prestressed Concrete Pipes (Including Fittings),https://archive.org/download/gov.in.is.784.2001/is.784.2001.pdf
1876,IS 785:1998,Reinforced Concrete Poles for Overhead Power and Telecommunication Lines,https://archive.org/download/gov.in.is.785.1998/is.785.1998.pdf
1877,IS 1332:1986,precast reinforced  concrete street lighting poles,https://archive.org/download/gov.in.is.1332.1986/is.1332.1986.pdf
1878,IS 1592:2003,Asbestos Cement Pressure Pipes and Joints,https://archive.org/download/gov.in.is.1592.2003/is.1592.2003.pdf
1879,IS 1626-1:1994,"Asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings, Part 1: Pipe and pipe fittings",https://archive.org/download/gov.in.is.1626.1.1994/is.1626.1.1994.pdf
1880,IS 1626-2:1994,"Asbestos cement building pipes and pipe fittings, gutters and gutter fittings and roofing fittings (Part 2: Gutter and gutter fittings )",https://archive.org/download/gov.in.is.1626.2.1994/is.1626.2.1994.pdf
1881,IS 1626-3:1994,"Asbestos Cement Building types and Pipe Fittings, Gutters and Gutter Fittings and Roofing Fittings, Part 3: Roofing Fittings",https://archive.org/download/gov.in.is.1626.3.1994/is.1626.3.1994.pdf
1882,IS 1678:1998,"Prestressed concrete poles for overhead power, traction and telecommunication lines",https://archive.org/download/gov.in.is.1678.1998/is.1678.1998.pdf
1883,IS 1916:1989,Steel cylinder pipe with concrete lining and coating,https://archive.org/download/gov.in.is.1916.1989/is.1916.1989.pdf
1884,IS 2096:1992,Asbestos cement flat sheets,https://archive.org/download/gov.in.is.2096.1992/is.2096.1992.pdf
1885,IS 2098:1997,Asbestos cement building boards,https://archive.org/download/gov.in.is.2098.1997/is.2098.1997.pdf
1886,IS 2174:1962,reinforced concrete dust bins,https://archive.org/download/gov.in.is.2174.1962/is.2174.1962.pdf
1887,IS 2185-1:2005,"Concrete masonry units, Part 1: Hollow and solid concrete blocks",https://archive.org/download/gov.in.is.2185.1.2005/is.2185.1.2005.pdf
1888,IS 2185-2:1983,"concrete masonry units, Part 2: Hollow and solid lightweight concrete blocks",https://archive.org/download/gov.in.is.2185.2.1983/is.2185.2.1983.pdf
1889,IS 2185-3:1984,"concrete masonry units, Part 3: Autoclaved cellular Aerated concrete blocks",https://archive.org/download/gov.in.is.2185.3.1984/is.2185.3.1984.pdf
1890,IS 2185-4:2008,"Concrete masonry units, Part 4: Preformed foam cellular concrete blocks",https://archive.org/download/gov.in.is.2185.4.2008/is.2185.4.2008.pdf
1891,IS 2193:1986,Precast Prestressed Concrete Street Lighting Poles,https://archive.org/download/gov.in.is.2193.1986/is.2193.1986.pdf
990,IS 1950:1962,Code of practice for sound  insulation of non-industrial buildings,https://archive.org/download/gov.in.is.1950.1962/is.1950.1962.pdf
991,IS 2440:1975,Guide for Daylighting of Buildings,https://archive.org/download/gov.in.is.2440.1975/is.2440.1975.pdf
992,IS 2526:1963,Code of practice for the acoustic design of auditoriums and conference halls,https://archive.org/download/gov.in.is.2526.1963/is.2526.1963.pdf
993,IS 3103:1975,Code of Practice for Industrial Ventilation,https://archive.org/download/gov.in.is.3103.1975/is.3103.1975.pdf
994,IS 3362:1977,Code of practice for natural ventilation of residential buildings,https://archive.org/download/gov.in.is.3362.1977/is.3362.1977.pdf
995,IS 3483:1965,Code of practice for noise reduction in industrial buildings,https://archive.org/download/gov.in.is.3483.1965/is.3483.1965.pdf
996,IS 3792:1978,Guide for heat insulation of non-industrial buildings,https://archive.org/download/gov.in.is.3792.1978/is.3792.1978.pdf
997,IS 4954:1968,Recommendations for noise reduction in town planning,https://archive.org/download/gov.in.is.4954.1968/is.4954.1968.pdf
998,IS 4963:1987,Recommendations for Buildings and Facilities for the Physically Handicapped,https://archive.org/download/gov.in.is.4963.1987/is.4963.1987.pdf
999,IS 5499:1969,Code of practice for the construction of underground air-raid shelters in natural soil,https://archive.org/download/gov.in.is.5499.1969/is.5499.1969.pdf
1000,IS 6060:1971,Code of Practice for Daylighting of Factory Buildings,https://archive.org/download/gov.in.is.6060.1971/is.6060.1971.pdf
1001,IS 6074:1971,"Code of Practice for Functional Requirements of Hotels, Restaurants and other food service establishments Daylighting of Factory Buildings",https://archive.org/download/gov.in.is.6074.1971/is.6074.1971.pdf
1002,IS 7662-1:1974,"Recommendations for orientation of buildings, Part 1: Non-industrial buildings",https://archive.org/download/gov.in.is.7662.1.1974/is.7662.1.1974.pdf
1003,IS 7942:1976,Code of practice for daylighting of educational buildings,https://archive.org/download/gov.in.is.7942.1976/is.7942.1976.pdf
1004,IS 8827:1978,Recommendations for the basic requirements of school buildings,https://archive.org/download/gov.in.is.8827.1978/is.8827.1978.pdf
1005,IS 9736:1981,Glossary of terms applicable to acoustics in buildings,https://archive.org/download/gov.in.is.9736.1981/is.9736.1981.pdf
1006,IS 11050-1:1984,"Rating of sound  insulation in buildings and building elements, Part 1: Airborne sound insulation in buildings and of interior building elements",https://archive.org/download/gov.in.is.11050.1.1984/is.11050.1.1984.pdf
1007,IS 11050-2:1984,"Rating of sound insulation in buildings and of building elements, Part 2: Impact sound insulation",https://archive.org/download/gov.in.is.11050.2.1984/is.11050.2.1984.pdf
1008,IS 11050-3:1984,"Rating of sound insulation in buildings and building elements, Part 3: Airborne sound insulation of facade elements and facades",https://archive.org/download/gov.in.is.11050.3.1984/is.11050.3.1984.pdf
1009,IS 11907:1986,Recommendations for the calculation of solar radiation on buildings,https://archive.org/download/gov.in.is.11907.1986/is.11907.1986.pdf
1763,IS 4984:1995,high-density polyethene pipes for potable water supplies,https://archive.org/download/gov.in.is.4984.1995/is.4984.1995.pdf
1764,IS 4985:2000,Unplasticized PVC Pipes for Potable Water Supplies,https://archive.org/download/gov.in.is.4985.2000/is.4985.2000.pdf
1765,IS 7634-1:1975,"Code of practice for plastic pipes work for potable water supplies, Part 1: Choice of materials and general recommendations",https://archive.org/download/gov.in.is.7634.1.1975/is.7634.1.1975.pdf
1766,IS 7634-2:2012,"Plastics Pipes Selection, Handling, Storage and Installation for Potable Water Supplies Code of Practice, Part 2: Laying and jointing of polyethene (PE) pipes",https://archive.org/download/gov.in.is.7634.2.2012/is.7634.2.2012.pdf
1767,IS 7634-3:2003,"Plastics Pipe Selection, Handling, Storage and Installation for Potable Water Supplies Code of Practice: Part 3 – Laying and Jointing of UPVC Pipes",https://archive.org/download/gov.in.is.7634.3.2003/is.7634.3.2003.pdf
1768,IS 7834-1:1987,"Injection moulded PVC socket fittings with solvent cement joints for water supplies, Part 1: General requirements",https://archive.org/download/gov.in.is.7834.1.1987/is.7834.1.1987.pdf
1769,IS 7834-2:1987,"Injection moulded PVC socket fittings with solvent cement joints for water supplies, Part 2: Specific requirements for 45-degree elbows",https://archive.org/download/gov.in.is.7834.2.1987/is.7834.2.1987.pdf
1770,IS 7834-3:1987,"Injection moulded PVC socket fittings with solvent cement joints for water supplies, Part 3: Specific requirements for 90-degree elbows",https://archive.org/download/gov.in.is.7834.3.1987/is.7834.3.1987.pdf
1771,IS 7834-4:1987,"Injection moulded PVC socket fittings with solvent cement joints for water supplies, Part 4: Specific requirements for 90-degree tees",https://archive.org/download/gov.in.is.7834.4.1987/is.7834.4.1987.pdf
1772,IS 7834-5:1987,"Injection Moulded PVC Socket Fittings With Solvent  Cement Joints for Water Supplies, Part 5: Specific Requirements for 45-degree Tees",https://archive.org/download/gov.in.is.7834.5.1987/is.7834.5.1987.pdf
1773,IS 7834-6:1987,"Injection moulded PVC socket fittings with solvent cement joints for water supplies, Part 6: Specific requirements for sockets",https://archive.org/download/gov.in.is.7834.6.1987/is.7834.6.1987.pdf
1774,IS 7834-7:1987,"Injection moulded PVC socket fittings with solvent cement joints for water supplies, Part 7: Specific requirements for unions",https://archive.org/download/gov.in.is.7834.7.1987/is.7834.7.1987.pdf
1775,IS 7834-8:1987,"Injection moulded PVC socket fittings with solvent cement joints for water supplies, Part 8: Specific requirements for caps",https://archive.org/download/gov.in.is.7834.8.1987/is.7834.8.1987.pdf
1776,IS 8008-1:2003,"Injection Moulded/Machined High-Density Polyethene (HDPE) Fittings for Potable Water Supplies, Part 1: General Requirements for Fittings",https://archive.org/download/gov.in.is.8008.1.2003/is.8008.1.2003.pdf
1777,IS 8008-2:2003,"Injection Moulded/Machined High-Density Polyethene (HDPE) Fittings for Potable Water Supplies, Part 2: Specific Requirements for 90° Bends",https://archive.org/download/gov.in.is.8008.2.2003/is.8008.2.2003.pdf
1778,IS 8008-3:2003,"Injection Moulded/Machined High-Density Polyethene (HDPE) Fittings for Potable Water Supplies, Part 3: Specific Requirements for 90° TEES",https://archive.org/download/gov.in.is.8008.3.2003/is.8008.3.2003.pdf
1779,IS 8008-4:2003,"Injection Moulded/Machined High-Density Polyethene (HDPE) Fittings for Potable Water Supplies, Part 4: Specific Requirements for Reducers",https://archive.org/download/gov.in.is.8008.4.2003/is.8008.4.2003.pdf
1780,IS 8008-5:2003,"Injection Moulded/Machined High-Density Polyethene (HDPE) Fittings for Potable Water Supplies, Part 5: Specific Requirements for Ferrule Reducers",https://archive.org/download/gov.in.is.8008.5.2003/is.8008.5.2003.pdf
1781,IS 8008-6:2003,"Injection Moulded/Machined High-Density Polyethene (HDPE) Fittings for Potable Water Supplies, Part 6: Specific Requirements for Pipe Ends",https://archive.org/download/gov.in.is.8008.6.2003/is.8008.6.2003.pdf
1782,IS 8008-7:2003,"Injection Moulded/Machined High-Density Polyethene (HDPE) Fittings for Potable Water Supplies, Part 7: Specific Requirements for Sandwich Flanges",https://archive.org/download/gov.in.is.8008.7.2003/is.8008.7.2003.pdf
1508,IS 1322:1993,Bitumen felts for waterproofing and damp-proofing,https://archive.org/download/gov.in.is.1322.1993/is.1322.1993.pdf
1509,IS 1346:1991,Code of Practice for Waterproofing of Roofs with Bitumen Felts,https://archive.org/download/gov.in.is.1346.1991/is.1346.1991.pdf
